38.54140405576325,38.613349784236746,-77.35090147073564,-77.25887180926438,2012-05-29 16:50:45,2012-05-30 08:50:45,Clln,ipod,Hulk
42.59752284576325,42.669468574236745,-83.15066668214224,-83.05287463785776,2012-10-11 04:58:34,2012-10-11 20:58:34,Nichol,Lamb,Gah
27.96873627576325,28.04068200423675,-82.62468441954168,-82.54319728045833,2012-09-16 01:16:32,2012-09-16 17:16:32,sickk
39.23660557576325,39.308551304236744,-76.65300660881736,-76.56007067118263,2012-09-01 19:28:06,2012-09-02 11:28:06,harvest,STOMPOut
39.03388361576325,39.105829344236746,-77.0465073182968,-76.95383890170321,2012-09-01 16:11:13,2012-09-02 08:11:13,Cini
40.61556613576325,40.68751186423675,-74.00613671840847,-73.91130728159152,2012-09-09 17:58:27,2012-09-10 09:58:27,SAB,TEAMJESUS,undocubu
32.77799593576325,32.849941664236745,-83.74073779799497,-83.65513240200502,2012-06-16 05:00:32,2012-06-16 21:00:32,Das
41.592530555763254,41.66447628423675,-72.70427023271291,-72.6080176072871,2012-09-07 00:40:08,2012-09-07 16:40:08,Scrappy
41.59394801576325,41.66589374423675,-83.6076496608867,-83.51139491911331,2012-09-18 21:04:04,2012-09-19 13:04:04,COOLEST,likereallybro
40.66353275576325,40.735478484236744,-80.35571371379812,-80.26081602620188,2012-09-12 11:54:21,2012-09-13 03:54:21,IHate,Pray,isleri
42.25388329576325,42.32582902423675,-85.63057527237353,-85.53331848762647,2012-06-01 04:10:03,2012-06-01 20:10:03,encouraging
33.930784905763254,34.00273063423675,-83.49188908805903,-83.40514079194097,2012-09-16 15:28:10,2012-09-17 07:28:10,solidly
42.486057835763255,42.55800356423675,-83.16244349739596,-83.06482610260404,2012-07-03 17:10:57,2012-07-04 09:10:57,insulted,being
34.676329135763254,34.74827486423675,-86.72181344875622,-86.63429055124377,2012-09-27 00:20:00,2012-09-27 16:20:00,fuqqqq
36.845395385763254,36.91734111423675,-76.23097783427757,-76.14103216572242,2012-08-25 15:50:41,2012-08-26 07:50:41,Bragg
39.05591885576325,39.12786458423675,-77.09256629224491,-76.99986892775509,2012-09-25 00:30:07,2012-09-25 16:30:07,Rating
41.830974475763256,41.90292020423675,-87.68947268154082,-87.59286189845918,2012-10-01 12:24:18,2012-10-02 04:24:18,bestdoesnt,omw,truefriend
36.76194587576325,36.83389160423675,-76.40132087890083,-76.31147330109917,2012-09-12 17:18:49,2012-09-13 09:18:49,useimaginationbetter
39.830774635763255,39.90272036423675,-86.19734480433145,-86.10360899566855,2012-06-15 06:00:55,2012-06-15 22:00:55,WORLDDDDDDD,Kudo,messin
42.59705205576325,42.668997784236744,-70.82807846226596,-70.73028715773403,2012-09-15 19:28:12,2012-09-16 11:28:12,alief,Bitter,HUNTER
40.648123295763256,40.72006902423675,-80.59552676190694,-80.50065101809307,2012-06-12 04:40:31,2012-06-12 20:40:31,Sheetz,aaahhh
42.82144913576325,42.89339486423675,-77.0428733629717,-76.94472743702829,2012-10-11 18:02:56,2012-10-12 10:02:56,Pip
42.263745935763254,42.33569166423675,-85.65078877830628,-85.55351676169373,2012-05-28 14:10:06,2012-05-29 06:10:06,Alibi,Car
27.587607155763248,27.65955288423675,-80.47881611891619,-80.3976144410838,2012-10-03 12:24:25,2012-10-04 04:24:25,Perspective,Dolphin
37.550730235763254,37.62267596423675,-77.5361995669861,-77.4454084330139,2012-09-11 11:58:56,2012-09-12 03:58:56,Appointment
