33.801686835763256,33.87363256423675,-84.41965784038499,-84.33304079961502,2012-10-14 20:48:49,2012-10-15 00:48:49,mathilda,reformulation,Tynn
42.260140535763256,42.33208626423675,-83.44387642377188,-83.34660997622811,2012-08-17 22:10:31,2012-08-18 02:10:31,glaadaward,prospered,Roastof
40.001986505763256,40.07393223423675,-76.35266083000926,-76.25869008999075,2012-04-19 19:40:59,2012-04-19 23:40:59,girlwithbook
26.67188829576325,26.74383402423675,-80.09296040566615,-80.01242201433386,2012-09-09 23:48:49,2012-09-10 03:48:49,twelvw,timeseryosoooooo
27.87386303576325,27.94580876423675,-82.852468377856,-82.771052822144,2012-10-05 03:46:21,2012-10-05 07:46:21,equipto,lineone,extraaaaa
40.61572978576325,40.687675514236744,-74.28381926469575,-74.18898959530424,2012-07-16 23:20:11,2012-07-17 03:20:11,Coonamessett
33.741391435763255,33.81333716423675,-84.61234891209551,-84.52579288790449,2012-10-05 02:26:37,2012-10-05 06:26:37,saywhat
41.553816735763256,41.62576246423675,-87.64128624111387,-87.54509135888611,2012-09-16 04:56:15,2012-09-16 08:56:15,guuuueeesss,thatmidwest
33.171517075763255,33.24346280423675,-87.59338626641404,-87.50739803358594,2012-05-29 21:40:45,2012-05-30 01:40:45,mearly,attendancelike
36.58680668576325,36.658752414236744,-88.36539517083884,-88.27575214916115,2012-10-07 04:52:22,2012-10-07 08:52:22,pumipikto,kirty,straught
39.25762721576325,39.329572944236745,-76.7031515369147,-76.6101877030853,2012-09-02 18:07:01,2012-09-02 22:07:01,tintil
39.978013135763256,40.04995886423675,-82.52308016156502,-82.42914243843498,2012-09-10 07:50:51,2012-09-10 11:50:51,Darnell,Boonehall
40.35694733576325,40.428893064236746,-81.38889363786528,-81.29442936213472,2012-09-25 07:58:24,2012-09-25 11:58:24,ormoc
39.60017839576325,39.672124124236746,-86.90898455831048,-86.81556200168951,2012-05-09 19:20:30,2012-05-09 23:20:30,meterle,snagu
41.78542535576325,41.857371084236746,-71.46021979518086,-71.36367776481914,2012-04-15 14:40:57,2012-04-15 18:40:57,leavemealonecustomer
37.00714763576325,37.07909336423675,-76.51001187849008,-76.41987492150992,2012-10-03 06:52:38,2012-10-03 10:52:38,iheartsf
25.84319469576325,25.91514042423675,-80.26981795207458,-80.18985306792543,2012-09-22 10:16:01,2012-09-22 14:16:01,Kosan,Gatortown
42.02064857576325,42.09259430423675,-76.0973794283962,-76.00048063160379,2012-09-19 04:32:29,2012-09-19 08:32:29,fuxwitit,RASPBERRY
39.34237252576325,39.41431825423675,-76.62179643500569,-76.52871984499431,2012-10-16 10:54:31,2012-10-16 14:54:31,hatestudyhall,everytiiiiime
32.965849635763256,33.03779536423675,-79.93964030921603,-79.85385309078396,2012-09-27 08:50:50,2012-09-27 12:50:50,sunsetmagazine,eighti,herhair
38.03356123576325,38.105506964236746,-75.60092747922765,-75.50954032077236,2012-08-03 19:30:05,2012-08-03 23:30:05,diethat,Sorrella,yallknowthi
